id,centroid_x,centroid_y,area_px,equiv_diameter_px,solidity,eccentricity,teal_fraction,relative_blueness,median_hue,median_saturation,median_value,is_stained,stain_confidence,on_border,possible_doublet,is_debris,ambiguous,source,sam3_detect_score,sam3_stain_score
267,1917.024,1781.259,6073,87.934,0.907,0.427,0.215,56.0,24.0,30.0,44.0,True,0.204,False,False,False,False,watershed,0.0,0.654
268,1990.992,1788.075,4137,72.577,0.957,0.516,0.0,-28.0,21.0,136.0,157.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
269,1826.16,1791.553,3803,69.585,0.9,0.566,0.0,19.0,34.0,98.0,111.0,True,0.092,False,False,False,False,watershed,0.0,0.542
270,2837.587,1789.669,9422,109.528,0.673,0.47,0.214,15.0,29.0,88.0,125.0,True,0.21,False,True,True,False,watershed,0.0,0.66
271,1732.056,1797.763,1697,46.483,0.913,0.66,0.0,-25.0,22.0,127.0,161.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
272,2128.007,1829.128,1507,43.804,0.762,0.719,0.258,28.0,33.0,78.0,115.0,True,0.248,False,False,False,False,watershed,0.0,0.0
273,2225.478,1861.124,4947,79.364,0.853,0.751,0.405,27.0,38.0,84.0,118.0,False,-0.005,False,False,False,False,watershed,0.0,0.445
274,1816.713,1881.914,4727,77.58,0.753,0.375,0.44,36.0,36.0,74.0,97.0,True,0.092,False,False,False,False,watershed,0.0,0.542
275,2104.865,1888.726,6579,91.524,0.794,0.686,0.147,-6.0,25.0,112.0,145.0,True,0.137,False,False,False,False,watershed,0.0,0.0
276,2016.276,1931.429,7569,98.169,0.807,0.77,0.174,17.0,32.0,96.0,118.0,False,-0.129,False,True,False,False,watershed,0.0,0.321
277,2190.803,1924.26,2183,52.721,0.769,0.757,0.002,-8.0,24.0,106.0,152.0,False,-0.008,False,False,False,False,watershed,0.0,0.0
278,2495.216,1950.541,4223,73.327,0.839,0.77,0.052,9.0,26.0,99.0,122.0,True,0.042,False,False,False,False,watershed,0.0,0.0
279,2135.02,2002.248,3031,62.122,0.695,0.94,0.129,-15.0,23.0,115.0,155.0,True,0.119,False,False,True,False,watershed,0.0,0.0
280,1800.437,2044.092,5263,81.86,0.596,0.891,0.298,23.0,31.0,82.0,111.0,True,0.03,False,False,True,False,watershed,0.0,0.48
281,1995.418,2064.111,10266,114.329,0.67,0.736,0.074,-7.0,24.0,115.0,140.0,False,-0.129,False,True,True,False,watershed,0.0,0.321
282,2257.128,2086.162,5168,81.118,0.812,0.773,0.269,13.0,27.0,85.0,131.0,True,0.259,False,False,False,False,watershed,0.0,0.0
283,2267.336,2148.831,1390,42.069,0.869,0.924,0.0,8.0,24.0,88.0,139.0,False,-0.01,True,False,False,False,watershed,0.0,0.0
284,2663.8,590.965,7165,95.513,0.829,0.541,0.0,-12.0,22.0,99.0,174.0,True,0.077,False,True,False,False,sam3,0.829,0.527
285,1177.56,1680.263,15684,141.313,0.929,0.534,0.0,0.0,22.0,96.0,148.0,False,-0.01,False,True,False,False,sam3,0.813,0.0
286,1087.828,1551.696,16400,144.503,0.947,0.432,0.0,-3.0,22.0,99.0,150.0,False,-0.01,False,True,False,False,sam3,0.746,0.0
287,1018.401,1398.439,6142,88.432,0.969,0.482,0.0,-18.0,22.0,119.0,159.0,False,-0.01,False,False,False,False,sam3,0.7,0.0
288,3499.193,741.059,3822,69.759,0.978,0.429,0.0,-9.0,22.0,96.0,169.0,False,-0.01,False,False,False,False,sam3,0.692,0.0
289,875.028,285.683,3130,63.129,0.965,0.443,0.0,-12.0,22.0,114.0,153.0,False,-0.05,False,False,False,False,sam3,0.643,0.4
290,3227.663,2030.552,3477,66.536,0.238,0.987,0.0,-5.0,21.0,92.0,160.0,False,-0.077,True,False,True,False,sam3,0.63,0.373
291,1994.297,217.788,5392,82.857,0.946,0.713,0.029,-9.0,23.0,101.0,161.0,False,-0.091,False,False,False,False,sam3,0.618,0.359
292,911.492,1260.216,7479,97.584,0.964,0.398,0.0,0.0,23.0,93.0,156.0,False,-0.1,False,True,False,False,sam3,0.59,0.35
293,807.575,1483.947,12586,126.59,0.871,0.614,0.0,4.0,21.0,91.0,145.0,False,-0.03,False,True,False,False,sam3,0.562,0.42
294,1397.844,1577.838,6286,89.463,0.975,0.818,0.0,-12.0,24.0,109.0,157.0,False,-0.129,False,False,False,False,sam3,0.536,0.321
295,3368.591,252.807,1533,44.18,0.934,0.735,0.0,-7.0,22.0,113.0,151.0,False,-0.01,False,False,False,False,sam3,0.525,0.0
296,786.035,438.347,2824,59.964,0.918,0.42,0.0,2.0,26.0,100.0,138.0,False,-0.05,False,False,False,False,sam3,0.502,0.4
297,619.154,1822.418,4248,73.544,0.952,0.828,0.101,21.0,27.0,75.0,120.0,True,0.23,False,False,False,False,sam3,0.427,0.68
298,1720.982,1693.608,11007,118.383,0.979,0.516,0.0,-19.0,23.0,132.0,151.0,False,-0.01,False,True,False,False,sam3,0.308,0.0
